# id	источник	заголовок	АДРЕС	КАСАЕТСЯ	КЛАСС	ЦИТАТА
V0001	teorkat-vvedenie/repeticia/akt-1-razbor.md	Порядок работы на репетиции: сначала наговариваю рассказ, потом комментирую	teorkat-vvedenie/repeticia/akt-1-razbor.md#Ход записи — чем сменялось что, строки 35–35	процедура	замечание	стоп. Слайд 4. Да, с такой скоростью, конечно. Слайд 4. Сначала наговариваю, что
V0068	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Нумерованную метку заменить символом	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#4. S4 · Треугольник Паскаля, строка 130	визуал	спорное	просто символ ножниц (сквозная правка 6)
V0069	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Пустая полоса на слайде — это брак	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#4. S4 · Треугольник Паскаля, строка 132	визуал	замечание	Картинка — сейчас правая полоса пустая, это брак
V0070	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Не влезает на один слайд — делаем три	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#5. S5 · Облики, строка 144	структура лекции	замечание	На один слайд не влезают ни биекция, ни вывод формулы. Владелец: делаем три.
V0071	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Вернуть прежний текст, тот, что был до попыток всё уместить	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#5A. Три облика, строки 148–149	процедура	замечание	тот, что был до попыток всё уместить: одна траектория, три облика, перечислены конкретно
V0072	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Один и тот же исход в трёх обликах — одновременно, на глазах	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#5A. Три облика, строки 151–154	визуал	спорное	Один и тот же исход в трёх обликах, на глазах.
V0073	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Объекта, о котором идёт речь, на слайде нет вообще — а он нужен большим	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#5B. Что видно на треугольнике, строка 158	визуал	замечание	Нужен большой треугольник Паскаля — сейчас его на слайде нет вообще.
V0074	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Нужный элемент был раньше и почему-то пропал — вернуть	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#5B. Что видно на треугольнике, строки 160–161	процедура	замечание	Раньше такая строка была, потом почему-то пропала.
V0075	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	У каждого наблюдения назвать, откуда оно берётся	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#5B. Что видно на треугольнике, строки 163–164	математика	спорное	И сказать, из какой биекции берётся каждое
V0076	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Начинать с конкретной задачи, а не с тождества	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#5C. Соседи и вывод формулы, строка 168	структура лекции	замечание	Начинать с конкретной задачи, а не с тождества.
V0077	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Потерянное при сокращении найти в исходной версии и вернуть	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#5C. Соседи и вывод формулы, строки 177–180	процедура	замечание	Эта часть была в первой версии текста и потерялась при сокращении — найти её в исходной версии, отправленной в Claude Code, и вернуть.
V0078	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-	Начинать с вопроса, а не с приёма	lsh-2026-perechislitelnaya/otkrytaya-lekcia-paskal/raskadrovka/RAZBOR-posle-lekcii-2026-07-27.md#6. S6 · Разрез по центру, строки 186–188	структура лекции	замечание	Порядок переписать: начинать с вопроса, а не с приёма.
